Term,Frequency,Source
überholte,1,KOALITION
straftatbestände,1,KOALITION
strafrechts,1,KOALITION
sanktionensystem,1,KOALITION
ersatzfreiheitsstrafen,1,KOALITION
maßregelvollzug,1,KOALITION
bewährungsauflagen,1,KOALITION
resozialisierung,1,KOALITION
strafprozesse,2,KOALITION
praxistauglicher,2,KOALITION
beschuldigten,2,KOALITION
beschneiden,1,KOALITION
vernehmungen,1,KOALITION
hauptverhandlung,1,KOALITION
bild,1,KOALITION
ton,1,KOALITION
aufgezeichnet,1,KOALITION
strafverfahren,1,KOALITION
möglicher,3,KOALITION
verfahrensgestaltung,1,KOALITION
grundsätzliche,2,KOALITION
tatprovokation,1,KOALITION
gerichtsentscheidungen,1,KOALITION
anonymisierter,1,KOALITION
maschinenlesbar,1,KOALITION
vernehmung,1,KOALITION
organisierte,1,KOALITION
organisierten,1,KOALITION
ok,3,KOALITION
clankriminalität,3,KOALITION
strukturermittlungen,1,KOALITION
strafrechtlicher,1,KOALITION
vermögensabschöpfung,1,KOALITION
geldwäschebekämpfung,2,KOALITION
themas,1,KOALITION
analysefähigkeit,1,KOALITION
bka,2,KOALITION
gruppierungen,1,KOALITION
mafia,1,KOALITION
aussagekräftiger,1,KOALITION
analysiert,1,KOALITION
definitorische,1,KOALITION
herbeigeführt,1,KOALITION
menschenhandel,4,KOALITION
extremismus,2,KOALITION
rechtsextremismus,5,KOALITION
bedrohung,5,KOALITION
islamismus,1,KOALITION
linksextremismus,1,KOALITION
nationaler,4,KOALITION
deradikalisierung,1,KOALITION
gefahrenabwehr,1,KOALITION
aktionsplans,1,KOALITION
rassismus,8,KOALITION
kabinettausschusses,1,KOALITION
gefährder,1,KOALITION
definitionen,1,KOALITION
früherkennung,1,KOALITION
koordinierte,2,KOALITION
überwachung,1,KOALITION
erfassung,3,KOALITION
queerfeindliche,1,KOALITION
hasskriminalität,2,KOALITION
präventionsund,1,KOALITION
deradikalisierungsprogramme,1,KOALITION
gefängnissen,1,KOALITION
auskunftssperren,1,KOALITION
melderegister,1,KOALITION
bedrohte,2,KOALITION
aufarbeitung,8,KOALITION
nsu,2,KOALITION
komplexes,1,KOALITION
energisch,1,KOALITION
rechtsterrorismus,1,KOALITION
11,2,KOALITION
märz,1,KOALITION
gedenktag,1,KOALITION
opfer,14,KOALITION
terroristischer,2,KOALITION
opfern,1,KOALITION
hinterbliebenen,1,KOALITION
terroranschlägen,1,KOALITION
tragweite,1,KOALITION
empathischer,1,KOALITION
würdiger,1,KOALITION
angehörigenhilfe,1,KOALITION
noah,1,KOALITION
tätigkeit,3,KOALITION
ombudsstelle,1,KOALITION
opferentschädigungsrecht,1,KOALITION
opferhilfe,1,KOALITION
akten,1,KOALITION
ns,4,KOALITION
verbrechen,1,KOALITION
kindesmissbrauch,2,KOALITION
bundeskriminalamt,1,KOALITION
auswertung,1,KOALITION
beschlagnahmten,1,KOALITION
datenträger,1,KOALITION
schutzes,2,KOALITION
personenbezogener,1,KOALITION
realisieren,1,KOALITION
tagesaktuellen,1,KOALITION
abgleich,1,KOALITION
informationsweitergabe,1,KOALITION
ämtern,1,KOALITION
hilfenetzwerk,1,KOALITION
vertrauensstellung,1,KOALITION
jugendämter,1,KOALITION
präventionsprogramme,1,KOALITION
täter,2,KOALITION
kindgerechte,1,KOALITION
schenkt,1,KOALITION
struktureller,1,KOALITION
sexualisierter,1,KOALITION
gruppen,4,KOALITION
sportvereinen,1,KOALITION
waffenrecht,1,KOALITION
sicherheitsdienste,2,KOALITION
überwiegende,1,KOALITION
zahl,1,KOALITION
waffenbesitzerinnen,1,KOALITION
besitzer,1,KOALITION
rechtstreu,1,KOALITION
terroristen,2,KOALITION
extremistinnen,2,KOALITION
extremisten,2,KOALITION
entwaffnen,1,KOALITION
waffenrechtsänderungen,1,KOALITION
kontrollmöglichkeiten,1,KOALITION
jagdverbänden,1,KOALITION
kriminalstatistische,1,KOALITION
straftaten,1,KOALITION
schusswaffen,1,KOALITION
informationsfluss,1,KOALITION
gegenständen,1,KOALITION
waffenschein,1,KOALITION
vorgelegt,1,KOALITION
regulieren,2,KOALITION
evidenzbasierte,3,KOALITION
grundrechtsorientierte,1,KOALITION
bundesakademie,1,KOALITION
begründet,1,KOALITION
gesamtwirkung,1,KOALITION
betrachtet,1,KOALITION
überwachungsgesamtrechnung,2,KOALITION
entwicklungen,4,KOALITION
genügen,1,KOALITION
unabhängiges,2,KOALITION
expertengremium,1,KOALITION
freiheitskommission,1,KOALITION
sicherheitsgesetzgebungsvorhaben,1,KOALITION
berät,2,KOALITION
freiheitseinschränkungen,1,KOALITION
videoüberwachung,2,KOALITION
präsenz,1,KOALITION
bürgernahen,1,KOALITION
kriminalitätsschwerpunkten,1,KOALITION
biometrischer,1,KOALITION
überwachungszwecken,1,KOALITION
anonymität,2,KOALITION
gegenwärtigen,1,KOALITION
unsicherheit,3,KOALITION
bevorstehenden,2,KOALITION
urteils,1,KOALITION
resultierenden,1,KOALITION
sicherheitspolitischen,4,KOALITION
vorratsdatenspeicherung,1,KOALITION
anlassbezogen,2,KOALITION
gespeichert,1,KOALITION
login,1,KOALITION
grundrechtsschonende,1,KOALITION
freiheitsorientierte,1,KOALITION
identifizierung,1,KOALITION
täterinnen,1,KOALITION
ausnutzung,1,KOALITION
schwachstellen,1,KOALITION
systemen,2,KOALITION
hochproblematischen,1,KOALITION
spannungsverhältnis,1,KOALITION
bürgerrechten,1,KOALITION
ankaufen,1,KOALITION
offenhalten,1,KOALITION
unabhängigeren,1,KOALITION
bundesamtes,1,KOALITION
schnellstmögliche,1,KOALITION
schließung,1,KOALITION
überwachungssoftware,2,KOALITION
kommerzieller,1,KOALITION
eingriffsschwellen,1,KOALITION
geltende,1,KOALITION
durchsuchung,2,KOALITION
befugnis,2,KOALITION
verfassungsschutzes,1,KOALITION
kernbereichs,1,KOALITION
lebensgestaltung,1,KOALITION
unterbleiben,2,KOALITION
bundespolizeigesetz,1,KOALITION
quellen,1,KOALITION
tkü,1,KOALITION
effektive,5,KOALITION
aufsichtsbehörden,1,KOALITION
sicherheitsbereich,1,KOALITION
zitis,1,KOALITION
gtaz,1,KOALITION
klarer,1,KOALITION
lückenlose,1,KOALITION
parlamente,1,KOALITION
datenschutzaufsichtsbehörden,1,KOALITION
meinungsfreiheit,3,KOALITION
uploadfilter,1,KOALITION
nachrichtendienste,2,KOALITION
wehrhaften,1,KOALITION
verfassungsrechtliche,1,KOALITION
trennungsgebot,1,KOALITION
nachrichtendiensten,1,KOALITION
nachrichtendienstlichen,1,KOALITION
übermittlungsvorschriften,1,KOALITION
hilfsorgane,1,KOALITION
parlamentarischen,5,KOALITION
kontrolllücken,1,KOALITION
analyse,3,KOALITION
kontrollinstanz,1,KOALITION
streitfragen,1,KOALITION
vs,1,KOALITION
einstufungen,1,KOALITION
verkürzen,1,KOALITION
archivrechtlichen,1,KOALITION
schutzfristen,1,KOALITION
maximal,1,KOALITION
gewährspersonen,1,KOALITION
sonstigen,2,KOALITION
informantinnen,1,KOALITION
informanten,1,KOALITION
parlamentarisch,4,KOALITION
überprüfbar,1,KOALITION
nachverfolgung,1,KOALITION
transaktionen,2,KOALITION
terrorismusfinanzierung,2,KOALITION
verfügen,1,KOALITION
holocaust,5,KOALITION
überlebende,1,KOALITION
historischen,3,KOALITION
überlebenden,2,KOALITION
entschädigungsleistungen,1,KOALITION
betagten,1,KOALITION
zukunftsaufgaben,1,KOALITION
wiedergutmachung,2,KOALITION
nationalsozialistischen,1,KOALITION
unrechts,1,KOALITION
themenplattform,1,KOALITION
verstärkung,1,KOALITION
education,1,KOALITION
diktatur,2,KOALITION
folgeschäden,1,KOALITION
opfergruppen,1,KOALITION
opferrente,1,KOALITION
ehemalige,1,KOALITION
häftlinge,1,KOALITION
religionsgemeinschaften,6,KOALITION
wertvollen,1,KOALITION
wertevermittlung,1,KOALITION
schätzen,1,KOALITION
grundsätzegesetz,1,KOALITION
ablösung,1,KOALITION
staatsleistungen,1,KOALITION
religionsverfassungsrecht,1,KOALITION
kooperativen,1,KOALITION
trennungsmodells,1,KOALITION
muslimischer,1,KOALITION
ergänzungen,1,KOALITION
rechtsstatus,1,KOALITION
notwendig,1,KOALITION
neuere,1,KOALITION
progressive,1,KOALITION
beheimatete,1,KOALITION
islamische,1,KOALITION
gemeinschaften,1,KOALITION
ausbildungsprogramme,1,KOALITION
imaminnen,1,KOALITION
imame,1,KOALITION
unternehmensrecht,1,KOALITION
ehrliche,1,KOALITION
rechtsuntreuen,1,KOALITION
mitbewerberinnen,1,KOALITION
mitbewerbern,1,KOALITION
vorschriften,2,KOALITION
unternehmenssanktionen,1,KOALITION
sanktionshöhe,1,KOALITION
interne,1,KOALITION
untersuchungen,1,KOALITION
präzisen,1,KOALITION
whistleblower,2,KOALITION
praktikabel,2,KOALITION
whistleblowerinnen,1,KOALITION
meldung,1,KOALITION
nachteilen,1,KOALITION
sonstigem,1,KOALITION
fehlverhalten,1,KOALITION
aufdeckung,1,KOALITION
durchsetzbarkeit,1,KOALITION
repressalien,1,KOALITION
schädiger,1,KOALITION
unterstützungsangebote,1,KOALITION
gesellschaftsrechts,1,KOALITION
beurkundungen,1,KOALITION
videokommunikation,1,KOALITION
sacheinlage,1,KOALITION
beschlüssen,1,KOALITION
erlauben,1,KOALITION
hauptversammlungen,1,KOALITION
aktionärsrechte,1,KOALITION
uneingeschränkt,1,KOALITION
missbrauch,5,KOALITION
kostenerstattungen,1,KOALITION
abmahnungen,1,KOALITION
unlauteren,1,KOALITION
uwg,1,KOALITION
qualitäts,1,KOALITION
transparenzanforderungen,1,KOALITION
rechtsanwaltschaft,1,KOALITION
erfolgshonoraren,1,KOALITION
modifizieren,1,KOALITION
fremdbesitzverbot,1,KOALITION
verbraucherbildung,2,KOALITION
mehrsprachige,1,KOALITION
situationsgerechte,1,KOALITION
warentest,1,KOALITION
verbraucherzentrale,1,KOALITION
bundesverbands,1,KOALITION
gestiegenen,1,KOALITION
kollektiver,3,KOALITION
marktbeobachtung,1,KOALITION
verhältnisse,2,KOALITION
verbraucherkrediten,1,KOALITION
überschuldung,2,KOALITION
marktgerechte,1,KOALITION
zinsen,1,KOALITION
wucher,1,KOALITION
darlehensformen,1,KOALITION
irreführende,1,KOALITION
verboten,1,KOALITION
schuldner,1,KOALITION
insolvenzberatung,1,KOALITION
vorfälligkeitsentschädigungen,1,KOALITION
basiskonto,1,KOALITION
behördliche,1,KOALITION
aufsicht,3,KOALITION
inkassounternehmen,1,KOALITION
lebensdauer,2,KOALITION
reparierbarkeit,1,KOALITION
erkennbaren,1,KOALITION
merkmal,1,KOALITION
produkteigenschaft,1,KOALITION
reparatur,1,KOALITION
ersatzteilen,1,KOALITION
reparaturanleitungen,1,KOALITION
herstellerinnen,1,KOALITION
üblichen,1,KOALITION
nutzungszeit,2,KOALITION
updates,1,KOALITION
nutzbarkeit,1,KOALITION
langlebige,1,KOALITION
güter,3,KOALITION
gewährleistungsdauer,1,KOALITION
herstellerin,1,KOALITION
widerrufbuttons,1,KOALITION
dauerschuldverhältnissen,1,KOALITION
lieferung,2,KOALITION
warenleistungen,1,KOALITION
durchschnittlichen,1,KOALITION
monatlichen,1,KOALITION
abo,1,KOALITION
mindestlaufzeit,1,KOALITION
höchstens,1,KOALITION
bestätigungslösung,1,KOALITION
geschlossene,2,KOALITION
unseriösen,1,KOALITION
haustürgeschäften,1,KOALITION
flugreisen,1,KOALITION
pauschalreise,1,KOALITION
insolvenzabsicherung,1,KOALITION
einbezogen,1,KOALITION
entschädigungs,1,KOALITION
ausgleichszahlungen,1,KOALITION
verkehrsträgern,1,KOALITION
no,1,KOALITION
show,1,KOALITION
klauseln,1,KOALITION
untersagen,2,KOALITION
agb,1,KOALITION
fluggastrechteverordnung,1,KOALITION
schutzniveaus,1,KOALITION
aufsichtsbefugnisse,1,KOALITION
kraftfahrt,1,KOALITION
eisenbahnbundesamtes,1,KOALITION
kollektive,1,KOALITION
verbraucherinteressen,1,KOALITION
sterbehilfe,2,KOALITION
zeitnahe,1,KOALITION
fraktionsübergreifende,1,KOALITION
zugeführt,1,KOALITION
mittler,2,KOALITION
demokratische,6,KOALITION
breiter,2,KOALITION
entwicklungsplan,1,KOALITION
offensive,2,KOALITION
sportstätten,2,KOALITION
beachtung,3,KOALITION
schwimmbäder,2,KOALITION
sportförderung,2,KOALITION
behindertensport,1,KOALITION
breitensports,1,KOALITION
zielvorgaben,2,KOALITION
good,1,KOALITION
leistungssportpersonal,1,KOALITION
spitzensportförderung,1,KOALITION
instanz,1,KOALITION
mittelvergabe,1,KOALITION
transparenzportal,1,KOALITION
potenzialanalysesystem,1,KOALITION
potas,1,KOALITION
spitzensport,1,KOALITION
mitwirkungsrechte,1,KOALITION
athletinnen,1,KOALITION
athleten,2,KOALITION
vereinigung,1,KOALITION
physische,1,KOALITION
psychische,1,KOALITION
sexualisierte,1,KOALITION
zentrums,2,KOALITION
safe,1,KOALITION
menschenfeindlichkeit,2,KOALITION
dopingprävention,1,KOALITION
dopingvergangenheit,1,KOALITION
forschungsprojekten,1,KOALITION
datei,1,KOALITION
gewalttäter,1,KOALITION
löschfristen,1,KOALITION
reformiert,3,KOALITION
fankultur,1,KOALITION
koordinationsstelle,1,KOALITION
fanprojekte,1,KOALITION
sportgroßveranstaltungen,2,KOALITION
geknüpft,1,KOALITION
fußball,1,KOALITION
europameisterschaft,1,KOALITION
männer,2,KOALITION
bewerbungen,1,KOALITION
olympische,1,KOALITION
paralympische,1,KOALITION
spiele,2,KOALITION
getragen,2,KOALITION
bevölkerung,3,KOALITION
gleichstellungsstrategie,1,KOALITION
künftiger,1,KOALITION
gender,4,KOALITION
intersektionale,1,KOALITION
gleichstellungspolitik,1,KOALITION
frauenrechtskonvention,1,KOALITION
cedaw,1,KOALITION
gleichstellungsorientierte,1,KOALITION
männerpolitik,1,KOALITION
gewaltprävention,1,KOALITION
istanbul,2,KOALITION
vorbehaltlos,1,KOALITION
frau,1,KOALITION
frauenhäusern,1,KOALITION
hilfesystem,1,KOALITION
regelfinanzierung,1,KOALITION
zufluchtsräume,1,KOALITION
männliche,1,KOALITION
partnerschaftsgewalt,1,KOALITION
vulnerabler,1,KOALITION
geflüchteter,1,KOALITION
queerer,1,KOALITION
täterarbeit,1,KOALITION
sexismus,1,KOALITION
gerichtsverwertbare,1,KOALITION
vertrauliche,1,KOALITION
beweissicherung,1,KOALITION
wohnortnah,2,KOALITION
monitoringstelle,1,KOALITION
europaratskonvention,1,KOALITION
190,1,KOALITION
beseitigung,1,KOALITION
belästigung,1,KOALITION
erfolge,1,KOALITION
handlungsbedarfe,1,KOALITION
berichterstattung,2,KOALITION
männeranteils,1,KOALITION
führungsebenen,1,KOALITION
schärfen,1,KOALITION
lohnlücke,1,KOALITION
entgelttransparenzgesetz,1,KOALITION
prozessstandschaft,2,KOALITION
geltend,1,KOALITION
brückenteilzeit,1,KOALITION
überforderungsklausel,1,KOALITION
übersichtlicher,1,KOALITION
familienbesteuerung,1,KOALITION
familienformen,1,KOALITION
interaktion,2,KOALITION
steuerpflichtigen,4,KOALITION
finanzverwaltung,2,KOALITION
steuerklassen,1,KOALITION
faktorverfahren,1,KOALITION
steuerklasse,1,KOALITION
anwendbar,1,KOALITION
fairness,2,KOALITION
reproduktive,1,KOALITION
selbstbestimmungsrecht,1,KOALITION
kostenfreien,1,KOALITION
schwangerschaftsabbrüchen,1,KOALITION
gehsteigbelästigungen,1,KOALITION
abtreibungsgegnerinnen,1,KOALITION
abtreibungsgegnern,1,KOALITION
beratungseinrichtungen,1,KOALITION
schwangerschaftskonfliktberatung,1,KOALITION
ärzte,1,KOALITION
strafverfolgung,1,KOALITION
befürchten,1,KOALITION
streichen,1,KOALITION
219a,1,KOALITION
stgb,2,KOALITION
verhütungsmittel,2,KOALITION
satzungsleistung,1,KOALITION
erstatten,1,KOALITION
geringverdienenden,1,KOALITION
übernommen,3,KOALITION
ungewollt,1,KOALITION
kinderlose,1,KOALITION
befruchtung,1,KOALITION
heterologer,1,KOALITION
insemination,1,KOALITION
indikation,1,KOALITION
familienstand,1,KOALITION
sexueller,4,KOALITION
förderfähig,1,KOALITION
beschränkungen,1,KOALITION
behandlungszyklen,1,KOALITION
landesbeteiligung,1,KOALITION
sodann,1,KOALITION
zurückzukehren,1,KOALITION
präimplantationsdiagnostik,1,KOALITION
vorkernstadium,1,KOALITION
elektiven,1,KOALITION
embryo,1,KOALITION
reproduktiven,1,KOALITION
fortpflanzungsmedizin,1,KOALITION
regulierungen,1,KOALITION
schwangerschaftsabbruch,1,KOALITION
strafgesetzbuches,1,KOALITION
legalisierung,1,KOALITION
eizellspende,1,KOALITION
altruistischen,1,KOALITION
leihmutterschaft,1,KOALITION
tolerante,1,KOALITION
bürgerschaftliches,2,KOALITION
demokratiepolitik,1,KOALITION
bedeutsamer,1,KOALITION
bürgerschaftlich,1,KOALITION
engagieren,4,KOALITION
begeistern,1,KOALITION
haftungsrisiken,1,KOALITION
patenschaftsprogramm,1,KOALITION
fortgeführt,2,KOALITION
engagementstrategie,1,KOALITION
gemeinnützigkeitsrecht,1,KOALITION
entstandenen,1,KOALITION
gemeinnützigkeitsrechtsprechung,1,KOALITION
bundesfinanzhofes,1,KOALITION
gemeinnützigkeitszwecke,1,KOALITION
verbinden,1,KOALITION
transparenzpflichten,2,KOALITION
größere,1,KOALITION
förderauftrag,1,KOALITION
angelegten,1,KOALITION
demokratiefördergesetz,1,KOALITION
einbringen,1,KOALITION
zivilgesellschaftliche,3,KOALITION
ausstiegsarbeit,1,KOALITION
empowerment,1,KOALITION
betroffenengruppen,1,KOALITION
angriffen,1,KOALITION
vermehrt,1,KOALITION
mehrjährige,2,KOALITION
fördermodalitäten,1,KOALITION
selbstverständlich,2,KOALITION
unterstützten,1,KOALITION
förderliche,1,KOALITION
geförderten,1,KOALITION
erinnerungsortes,1,KOALITION
dokumentationszentrums,1,KOALITION
staatsangehörigkeitsrecht,2,KOALITION
geschichte,3,KOALITION
einwanderinnen,1,KOALITION
einwanderer,1,KOALITION
enkel,1,KOALITION
aufgebaut,2,KOALITION
symbolisch,1,KOALITION
jubiläum,1,KOALITION
anwerbeabkommens,1,KOALITION
türkei,5,KOALITION
minderheiten,3,KOALITION
dänische,1,KOALITION
minderheit,1,KOALITION
friesische,1,KOALITION
volksgruppe,1,KOALITION
sinti,1,KOALITION
roma,2,KOALITION
sorbische,1,KOALITION
volk,1,KOALITION
selbstverständlicher,1,KOALITION
kulturelle,5,KOALITION
erbe,3,KOALITION
vertriebenen,1,KOALITION
aussiedlerinnen,1,KOALITION
aussiedler,1,KOALITION
spätaussiedlerinnen,1,KOALITION
partizipationsgesetz,1,KOALITION
leitbild,2,KOALITION
partizipationsrates,1,KOALITION
bundesverwaltung,1,KOALITION
bundesbeteiligung,1,KOALITION
migrantenselbstorganisationen,2,KOALITION
partnerinnen,1,KOALITION
erschließen,2,KOALITION
studieren,1,KOALITION
mehrfachstaatsangehörigkeit,1,KOALITION
staatsangehörigkeit,2,KOALITION
einbürgerung,2,KOALITION
integrationsleistungen,2,KOALITION
niederlassungserlaubnis,1,KOALITION
erworben,1,KOALITION
geborene,1,KOALITION
staatsbürgerinnen,1,KOALITION
staatsbürger,1,KOALITION
rechtmäßigen,1,KOALITION
gewöhnlichen,1,KOALITION
aufenthalt,2,KOALITION
inland,2,KOALITION
staatsbürgerschaften,1,KOALITION
vererben,1,KOALITION
lebensleistung,1,KOALITION
gastarbeitergeneration,1,KOALITION
gruppe,1,KOALITION
nachzuweisende,1,KOALITION
sprachniveau,1,KOALITION
härtefallregelung,1,KOALITION
sprachnachweis,2,KOALITION
einbürgerungserfordernis,1,KOALITION
einordnung,1,KOALITION
einbürgerungsfeiern,1,KOALITION
muslimisches,1,KOALITION
muslimischen,1,KOALITION
jugendvereine,1,KOALITION
zunehmenden,2,KOALITION
musliminnen,1,KOALITION
muslimen,1,KOALITION
begegnung,1,KOALITION
jüdisches,3,KOALITION
1700,1,KOALITION
antisemitismus,3,KOALITION
gedenken,2,KOALITION
ihra,1,KOALITION
beschlossen,2,KOALITION
jüdinnen,1,KOALITION
juden,2,KOALITION
beschämender,1,KOALITION
schmerzlicher,1,KOALITION
bewacht,1,KOALITION
sensibilisierende,1,KOALITION
fortbildungen,1,KOALITION
entschlossenere,1,KOALITION
verfolgung,3,KOALITION
antisemitischer,1,KOALITION
vorfälle,2,KOALITION
gedenkens,1,KOALITION
nationalsozialismus,2,KOALITION
aufgewertet,1,KOALITION
queeres,1,KOALITION
queerfeindlichkeit,2,KOALITION
ressortübergreifenden,2,KOALITION
geschlechtlicher,1,KOALITION
unterlegt,1,KOALITION
lsbti,3,KOALITION
bundesstiftung,3,KOALITION
magnus,1,KOALITION
hirschfeld,1,KOALITION
regenbogenfamilien,2,KOALITION
geschlechtsspezifische,1,KOALITION
homosexuellenfeindliche,1,KOALITION
beweggründe,1,KOALITION
katalog,1,KOALITION
strafzumessung,1,KOALITION
46,1,KOALITION
abs,2,KOALITION
explizit,1,KOALITION
aufnehmen,2,KOALITION
geschlechts,1,KOALITION
queere,2,KOALITION
separat,1,KOALITION
transsexuellengesetz,1,KOALITION
selbstbestimmungsgesetz,1,KOALITION
standesamt,1,KOALITION
geschlechtseintrags,1,KOALITION
personenstand,1,KOALITION
selbstauskunft,1,KOALITION
erweitertes,1,KOALITION
sanktionsbewehrtes,1,KOALITION
offenbarungsverbot,1,KOALITION
aufklärungs,1,KOALITION
geschlechtsangleichender,1,KOALITION
behandlungen,1,KOALITION
varianten,1,KOALITION
geschlechtsentwicklung,1,KOALITION
umgehungsmöglichkeiten,1,KOALITION
trans,2,KOALITION
inter,1,KOALITION
früherer,1,KOALITION
körperverletzungen,1,KOALITION
zwangsscheidungen,1,KOALITION
entschädigungsfonds,1,KOALITION
strafausnahmen,1,KOALITION
konversionsbehandlungen,2,KOALITION
vollständiges,1,KOALITION
auchvon,1,KOALITION
blutspendeverbot,1,KOALITION
sex,1,KOALITION
gleichgeschlechtliche,1,KOALITION
ehen,1,KOALITION
lebenspartnerschaften,1,KOALITION
mitgliedsstaaten,2,KOALITION
rechtsfolgen,1,KOALITION
rechtsakte,1,KOALITION
homophobie,1,KOALITION
verfolgte,1,KOALITION
asylverfahren,5,KOALITION
dolmetscher,1,KOALITION
beurteilung,1,KOALITION
verfolgungswahrscheinlichkeit,1,KOALITION
unterbringung,1,KOALITION
rechtsberatung,1,KOALITION
inhaltlich,2,KOALITION
extremismusprävention,1,KOALITION
hass,1,KOALITION
gruppenbezogener,1,KOALITION
antiziganismus,4,KOALITION
schwarze,1,KOALITION
muslimfeindlichkeit,1,KOALITION
frauenhass,1,KOALITION
engagierte,2,KOALITION
dekade,1,KOALITION
afrikanischer,1,KOALITION
integrations,1,KOALITION
migrationsforschung,1,KOALITION
dezim,1,KOALITION
rassismusmonitor,1,KOALITION
anti,2,KOALITION
beauftragte,2,KOALITION
gegründet,1,KOALITION
beratungsstelle,1,KOALITION
antiziganistische,1,KOALITION
gleichbehandlungsartikel,1,KOALITION
artikel,4,KOALITION
absatz,1,KOALITION
gg,3,KOALITION
begriff,1,KOALITION
rasse,1,KOALITION
antidiskriminierung,1,KOALITION
antidiskriminierungsstelle,1,KOALITION
statten,2,KOALITION
gewählt,1,KOALITION
zivilgesellschaftlicher,1,KOALITION
beratungsstellen,1,KOALITION
agg,1,KOALITION
schutzlücken,1,KOALITION
anwendungsbereich,2,KOALITION
zweifelsfrei,1,KOALITION
gruppenbezogenen,1,KOALITION
entgegenzutreten,1,KOALITION
selbstkontrolle,2,KOALITION
supervision,1,KOALITION
innerer,1,KOALITION
verfasstheit,2,KOALITION
minority,1,KOALITION
safepack,1,KOALITION
proaktiv,1,KOALITION
entfaltung,1,KOALITION
sprachen,2,KOALITION
medienpolitik,2,KOALITION
organisations,1,KOALITION
ausdrucksform,1,KOALITION
klassik,1,KOALITION
comic,1,KOALITION
plattdeutsch,1,KOALITION
plattenladen,1,KOALITION
überzeugt,1,KOALITION
künstlerische,1,KOALITION
inspirieren,1,KOALITION
debattenräume,1,KOALITION
diskriminierungsfreie,1,KOALITION
staatsziel,1,KOALITION
pay,1,KOALITION
divers,1,KOALITION
besetzte,1,KOALITION
jurys,1,KOALITION
amtszeitbegrenzungen,1,KOALITION
statistische,1,KOALITION
freischaffender,1,KOALITION
künstler,2,KOALITION
mindesthonorierungen,1,KOALITION
soloselbstständige,1,KOALITION
ksk,1,KOALITION
stabilisieren,2,KOALITION
erhöhte,1,KOALITION
zuverdienstgrenze,1,KOALITION
selbstständiger,1,KOALITION
künstlerischer,1,KOALITION
kulturförderung,1,KOALITION
fortan,1,KOALITION
kulturstiftung,1,KOALITION
bundeskulturfonds,1,KOALITION
innovationstreiber,1,KOALITION
szene,1,KOALITION
produktionshäuser,1,KOALITION
bundeskulturförderung,1,KOALITION
culture,1,KOALITION
datenerfassung,1,KOALITION
anbietet,1,KOALITION
kulturakteurinnen,1,KOALITION
qualifiziert,1,KOALITION
datenraums,1,KOALITION
sparten,1,KOALITION
länderübergreifend,1,KOALITION
kulturproduzentinnen,1,KOALITION
produzenten,1,KOALITION
trafo,1,KOALITION
exemplarische,1,KOALITION
kofinanzierung,1,KOALITION
bekräftigen,1,KOALITION
hauptstadt,1,KOALITION
zuwendungsrecht,1,KOALITION
bibliotheken,3,KOALITION
sonntagsöffnungen,1,KOALITION
livemusikstätten,1,KOALITION
kulturorte,2,KOALITION
hochverdichteten,1,KOALITION
schallschutz,1,KOALITION
musikspielstättenförderung,1,KOALITION
galerien,1,KOALITION
kulturgutschutzgesetzes,1,KOALITION
ansprechpartnerin,1,KOALITION
ansprechpartner,1,KOALITION
journalismus,1,KOALITION
gemeinnützig,1,KOALITION
verlage,1,KOALITION
buchmarkt,1,KOALITION
filmförderungsnovelle,1,KOALITION
filmförderinstrumente,1,KOALITION
filmmarktes,1,KOALITION
filmbranche,1,KOALITION
investitionsverpflichtungen,1,KOALITION
anreizmodellen,1,KOALITION
filmkoproduktionen,1,KOALITION
kinos,1,KOALITION
festivals,1,KOALITION
filmerbe,1,KOALITION
vergütungssituation,1,KOALITION
journalistische,1,KOALITION
inhalte,1,KOALITION
automatisierten,1,KOALITION
entscheidungsmechanismen,1,KOALITION
getretene,1,KOALITION
praxistauglichkeit,1,KOALITION
lending,1,KOALITION
sammelkatalog,1,KOALITION
nationalbibliothek,1,KOALITION
benannt,1,KOALITION
kulturelles,1,KOALITION
bauliche,1,KOALITION
kulturerbe,1,KOALITION
denkmalschutzsonderprogramm,1,KOALITION
aspekten,2,KOALITION
industrielles,1,KOALITION
welterbe,1,KOALITION
denkmalschutzes,1,KOALITION
reformprozess,1,KOALITION
preußischer,1,KOALITION
kulturbesitz,1,KOALITION
erhöhter,1,KOALITION
finanzierungsbeitrag,1,KOALITION
grundlegende,2,KOALITION
forum,1,KOALITION
weltoffenen,1,KOALITION
pluralität,1,KOALITION
wert,1,KOALITION
landesrecht,1,KOALITION
medienrechtlichen,1,KOALITION
bezügen,1,KOALITION
uhf,1,KOALITION
band,1,KOALITION
rundfunk,1,KOALITION
dsa,1,KOALITION
media,1,KOALITION
freedom,1,KOALITION
pluralismus,1,KOALITION
medienaufsicht,1,KOALITION
machbarkeit,1,KOALITION
technologieoffenen,1,KOALITION
medienplattform,1,KOALITION
presseerzeugnissen,1,KOALITION
fördermöglichkeiten,1,KOALITION
geeignet,1,KOALITION
medienlandschaft,1,KOALITION
intermediäre,1,KOALITION
kommunikative,1,KOALITION
auskunftsanspruch,2,KOALITION
presse,2,KOALITION
bundesbehörden,3,KOALITION
hassrede,1,KOALITION
desinformation,2,KOALITION
klagen,1,KOALITION
strategic,1,KOALITION
lawsuits,1,KOALITION
against,1,KOALITION
